dataset,model,ram,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative,pareto
Image Segmentation,KNN,,0.7285714285714285,0.1705333769473332,0.7254142682714112,0.1682056302318837,26795.8,10411.244315642583,0.7285714285714285,0.1705333769473332,accuracy,0.785958904109589,0.7837982953300154,0.1342703666957297,0.785958904109589,False
Image Segmentation,MLP,,0.8365079365079365,0.0206958806514369,0.8337015365586794,0.020804833636458,105582.26666666668,96458.71372693892,0.8365079365079365,0.0206958806514369,accuracy,0.9023972602739728,0.9008009240372704,0.5290593922144388,0.9023972602739728,False
Image Segmentation,RF,,0.9269841269841268,0.0299070534625662,0.9255114135786404,0.031094717213546,199566.0,300517.29831325845,0.9269841269841268,0.0299070534625662,accuracy,1.0,1.0,1.0,1.0,True
Image Segmentation,SVM,,0.8952380952380953,0.0271470339309318,0.8921673564530709,0.0288275524861506,11789.4,622.1163878246579,0.8952380952380953,0.0271470339309318,accuracy,0.9657534246575344,0.9639722896591418,0.0590751931691771,0.9657534246575344,True
Image Segmentation,Wisard,CB,0.8317460317460317,0.0439742704037939,0.8238682447992488,0.0496497643816501,917700.0,768213.5262959121,0.8317460317460317,0.0439742704037939,accuracy,0.8972602739726028,0.8901762125370538,4.598478698776344,0.8972602739726028,False
Iris,KNN,,0.9466666666666668,0.0380058475033046,0.9460549200379594,0.0387656894614356,5441.8,2088.5993392702203,0.9466666666666668,0.0380058475033046,accuracy,0.9838337182448036,0.9834672239068232,0.3083510563952237,0.9838337182448036,True
Iris,MLP,,0.9622222222222222,0.0338843348488376,0.9619587689763128,0.0341769958776282,17648.066666666662,16675.556762985616,0.9622222222222222,0.0338843348488376,accuracy,1.0,1.0,1.0,1.0,True
Iris,RF,,0.9533333333333334,0.0418698748475928,0.9532160367248088,0.0419081342120608,116380.93333333332,108766.95711560977,0.9533333333333334,0.0418698748475928,accuracy,0.9907621247113164,0.9909115312075092,6.594542933881333,0.9907621247113164,False
Iris,SVM,,0.94,0.0434613493680176,0.9398830409356724,0.0435639312743766,1855.6,277.858417184004,0.94,0.0434613493680176,accuracy,0.9769053117782912,0.977051274178692,0.1051446617382074,0.9769053117782912,True
Iris,Wisard,ST,0.9555555555555556,0.0423098505881328,0.9553989350480576,0.0423945094707161,18103.2,16720.904377455186,0.9555555555555556,0.0423098505881328,accuracy,0.9930715935334872,0.993180753541822,1.025789416026685,0.9930715935334872,False
