dataset,model,ram,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative
Image Segmentation,Wisard,Dict,0.6460317460317461,0.2512001928961456,0.640927864295843,0.252658070906051,78754.4,39983.12190259507,0.6460317460317461,0.2512001928961456,accuracy,1.0,1.0,1.0,1.0
Image Segmentation,Wisard,HH,0.792063492063492,0.022726700100438688,0.7847909706556322,0.030434737567327924,262276.0,134314.98727990114,0.792063492063492,0.022726700100438688,accuracy,1.226044226044226,1.2244606832905365,3.3303028148268545,1.226044226044226
Image Segmentation,Wisard,ST,0.7730158730158729,0.10537937319650596,0.7727744493290711,0.10330668183008034,120019.2,106020.00544802853,0.7730158730158729,0.10537937319650596,accuracy,1.1965601965601964,1.2057120502602607,1.5239681846347632,1.1965601965601964
Iris,Wisard,CB,0.9377777777777776,0.04052129450846773,0.936768014311874,0.04095575308872332,55795.2,88214.6867772028,0.9377777777777776,0.04052129450846773,accuracy,0.9952830188679243,0.9946176164478042,20.375109553023663,0.9952830188679243
Iris,Wisard,CC,0.9311111111111112,0.05522121617684078,0.9307470696944382,0.05556535830391678,193142.4,381833.98471691855,0.9311111111111112,0.05522121617684078,accuracy,0.9882075471698114,0.9882248516515413,70.53111305872042,0.9882075471698114
Iris,Wisard,CMS,0.9199999999999999,0.0574133808122836,0.9189206635816767,0.05776769990001075,17625.6,15854.62597477468,0.9199999999999999,0.0574133808122836,accuracy,0.9764150943396225,0.9756681122248014,6.436459246275197,0.9764150943396225
Iris,Wisard,Dict,0.9422222222222223,0.08585086120925263,0.9418373441418266,0.08607880489551636,2738.4,3282.319246102264,0.9422222222222223,0.08585086120925263,accuracy,1.0,1.0,1.0,1.0
Iris,Wisard,HH,0.931111111111111,0.04112612338515942,0.9301730047819696,0.04215706156276541,8755.2,6109.1763110913735,0.931111111111111,0.04112612338515942,accuracy,0.9882075471698111,0.9876153356708475,3.1971954425942157,0.9882075471698111
Iris,Wisard,ST,0.9555555555555555,0.04230985058813286,0.9553989350480577,0.04239450947071611,18103.2,16720.904377455186,0.9555555555555555,0.04230985058813286,accuracy,1.0141509433962264,1.0143990796187723,6.610867659947415,1.0141509433962264
Letter,Wisard,CB,0.879975,0.02155305952759374,0.8809872631177667,0.021395047543860693,2425446.4,1789881.1185050253,0.879975,0.02155305952759374,accuracy,1.0400981029489982,1.0390824852712583,0.506823556768439,1.0400981029489982
Letter,Wisard,CC,0.8745,0.029331616900539266,0.8757296527634721,0.029043082323548984,6567475.2,3580869.6976666437,0.8745,0.029331616900539266,accuracy,1.0336268542048344,1.032881384458297,1.3723457833793054,1.0336268542048344
Letter,Wisard,CMS,0.8403,0.04306251915013276,0.8423255687263096,0.04185092589134959,768768.0,270531.8078747858,0.8403,0.04306251915013276,accuracy,0.9932037113645766,0.9934828595162797,0.1606424830042665,0.9932037113645766
Letter,Wisard,Dict,0.84605,0.029227412931470065,0.8478511336737429,0.028582574865385957,4785583.4,2992807.538529753,0.84605,0.029227412931470065,accuracy,1.0,1.0,1.0,1.0
Letter,Wisard,HH,0.852125,0.015424828920355136,0.8535510103725569,0.01495129286461068,1177779.2,737593.5977509567,0.852125,0.015424828920355136,accuracy,1.00718042668873,1.006722732886039,0.24610984733857105,1.00718042668873
Letter,Wisard,ST,0.83925,0.018326987538115,0.8408197598890919,0.01804936627504722,1389107.2,966833.6896008537,0.83925,0.018326987538115,accuracy,0.9919626499615863,0.9917068297659943,0.29026914461463565,0.9919626499615863
Motion Sense,Wisard,CB,0.6515915027107548,0.08150068823670796,0.6188332780139051,0.08890852634891931,18399744.0,12709553.946464054,0.6515915027107548,0.08150068823670796,accuracy,0.9330858543255398,0.9024932028550393,0.7328225420114887,0.9330858543255398
Motion Sense,Wisard,CC,0.6547042261645727,0.08077225018778095,0.632393134275834,0.09166092377263747,54902016.0,46010161.00389652,0.6547042261645727,0.08077225018778095,accuracy,0.9375433069029625,0.9222686068982059,2.1866301469561438,0.9375433069029625
Motion Sense,Wisard,CMS,0.5602859801683543,0.11310462698492571,0.5077988914123097,0.15457438148652283,7034688.0,7082767.201053554,0.5602859801683543,0.11310462698492571,accuracy,0.8023353900366669,0.7405630307855489,0.2801766123712219,0.8023353900366669
Motion Sense,Wisard,Dict,0.698318916410691,0.027642161084665894,0.6856930069458967,0.026949602374721975,25108048.6,8516280.863700563,0.698318916410691,0.027642161084665894,accuracy,1.0,1.0,1.0,1.0
Motion Sense,Wisard,HH,0.6452664225248405,0.05646427676753362,0.6226934771393998,0.06378476427907842,7309440.0,5243106.245118441,0.6452664225248405,0.05646427676753362,accuracy,0.9240282732729961,0.9081228346091799,0.2911193982633919,0.9240282732729961
Motion Sense,Wisard,ST,0.5665038771723999,0.07954257150266435,0.5389491535307206,0.07801057727085445,3222720.0,1909635.465108459,0.5665038771723999,0.07954257150266435,accuracy,0.8112394836505205,0.785991906102734,0.12835406093646,0.8112394836505205
Optical Handwritten,Wisard,CB,0.9720640569395018,0.006899082336225525,0.9720889553561104,0.006872241840993665,9454592.0,7781035.1224191245,0.9720889553561104,0.006872241840993665,f1,1.0080575716570304,1.0079691459828939,1.5055321098553696,1.0079691459828939
Optical Handwritten,Wisard,CC,0.9712336892052195,0.005982870996984596,0.971287828022582,0.005865757250081528,3704136.0,1506674.0939167966,0.971287828022582,0.005865757250081528,f1,1.0071964571287981,1.0071384487203123,0.589839909249519,1.0071384487203123
Optical Handwritten,Wisard,CMS,0.9670818505338078,0.005217263370628468,0.9673144336418801,0.005186385921377827,2741760.0,2986714.8186594583,0.9673144336418801,0.005186385921377827,f1,1.0028908844876367,1.0030183947700007,0.43659289766465414,1.0030183947700007
