dataset,model,ram,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative
Glass,RF,,0.7651162790697674,0.056674036361036455,0.7466325096673517,0.06151222322946427,213231.4666666667,253995.93506257364,0.7466325096673517,0.06151222322946427,f1,1.0,1.0,1.0,1.0
Glass,SVM,,0.6355481727574751,0.05051582141859991,0.6134181238418074,0.05784751748326407,11739.4,1332.1945428502552,0.6134181238418074,0.05784751748326407,f1,0.830655666521928,0.8215797141154548,0.05505472613172789,0.8215797141154548
Glass,Wisard,CMS,0.6423403469915098,0.07875995843773859,0.5996889945288203,0.07377474069092543,114912.0,72586.92774873448,0.5996889945288203,0.07377474069092543,f1,0.8395329763110918,0.8031916461767793,0.5389073282492389,0.8031916461767793
Image Segmentation,KNN,,0.7285714285714285,0.17053337694733323,0.7254142682714112,0.16820563023188373,26795.8,10411.244315642583,0.7285714285714285,0.17053337694733323,accuracy,0.785958904109589,0.7837982953300154,0.13427036669572973,0.785958904109589
Image Segmentation,MLP,,0.8365079365079365,0.02069588065143696,0.8337015365586794,0.020804833636458006,105582.26666666668,96458.71372693893,0.8365079365079365,0.02069588065143696,accuracy,0.9023972602739727,0.9008009240372703,0.5290593922144388,0.9023972602739727
Image Segmentation,RF,,0.9269841269841269,0.02990705346256629,0.9255114135786403,0.03109471721354601,199566.0,300517.29831325845,0.9269841269841269,0.02990705346256629,accuracy,1.0,1.0,1.0,1.0
Image Segmentation,SVM,,0.8952380952380953,0.027147033930931836,0.8921673564530709,0.028827552486150657,11789.4,622.1163878246579,0.8952380952380953,0.027147033930931836,accuracy,0.9657534246575343,0.9639722896591418,0.059075193169177115,0.9657534246575343
Image Segmentation,Wisard,CB,0.8317460317460317,0.043974270403793925,0.8238682447992488,0.04964976438165017,917700.0,768213.5262959121,0.8317460317460317,0.043974270403793925,accuracy,0.8972602739726028,0.8901762125370538,4.598478698776344,0.8972602739726028
Iris,KNN,,0.9466666666666667,0.038005847503304636,0.9460549200379594,0.03876568946143562,5441.8,2088.5993392702203,0.9466666666666667,0.038005847503304636,accuracy,0.9838337182448037,0.9834672239068233,0.30835105639522375,0.9838337182448037
Iris,MLP,,0.9622222222222222,0.0338843348488376,0.9619587689763127,0.034176995877628256,17648.066666666662,16675.556762985616,0.9622222222222222,0.0338843348488376,accuracy,1.0,1.0,1.0,1.0
